Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"有る","ある","あ","to be, to exist.","失礼だが、上記の記事にある３つの誤りを指摘しておきたい。","Excuse me; allow me to point out three errors in the above article.","有名, 有無, 有効, 有様, 有難い"
"分かる","わかる","わ","to understand, to comprehend.","「博、君の気持ちは分かるよ」とマイクが言います。","I understand how you feel, Hiroshi, says Mike.","自分, 大分, 半分"
"御金","おかね","お.かね","money, rich person.","どうやってそのお金を手に入れたんですか。","How did you come by the money?","御中, 御飯, 防御, 針金, 賃金, 金槌, 御願い, 金曜日"
"お茶","おちゃ",".ちゃ","tea (esp. green or barley), tea break (at work).","ご都合のよいときにお茶を飲みにお寄りになりませんか。","Why don't you drop in for tea at your convenience?","紅茶, 茶色, 茶碗, 喫茶店"
"お父さん","おとうさん",".とう","father, dad.","お父さんは煙草の煙でたくさん輪を作れる。","Dad can blow many smoke rings.","祖父, 父母, お祖父さん"
"お母さん","おかあさん",".かあ","mother, mom.","お母さんに口答えしてはいけませんよ。","Don't answer your mother back.","祖母, 父母, お祖母さん"
"意味","いみ","い.み","meaning, significance.","その語にはいくつかの意味がある。","The word has several meanings.","意見, 注意, 用意, 意外, 興味, 美味しい"
"医者","いしゃ","い.しゃ","doctor, physician.","医者は彼の折れた足をついだ。","The doctor set his broken leg.","医学, 医師, 医療, 患者, 悪者"
"一つ","ひとつ","ひと","one, for one thing.","１つが通り過ぎたかと思うと、すぐに次の台風が接近する。","No sooner has one typhoon passed than the next one approaches.","一緒, 一番, 唯一, 一昨日"
"一緒","いっしょ","いっ.しょ","(doing) together, one lump.","「ご一緒してもいいですか」「もちろんです」","May I go with you? Of course.","一番, 唯一, 情緒, 由緒, 一昨日"
"一番","いちばん","いち.ばん","number one, first.","このネクタイにしましょう、一番よさそうだから。","I will take this tie, as it seems to be the best.","一緒, 唯一, 番号, 交番, 番組, 順番, 一昨日"
"右","みぎ","みぎ","right, right-hand side.","２つ目の角を右に曲がりなさい。","Turn right at the second corner.",""
"雨","あめ","あめ","rain, rainy day.","雨のために彼らは気力をそがれた。","The rain dampened their spirits.",""
"映画","えいが","えい.が","movie, film.","その映画をもう一度見たいな。","I want to see the movie again.","反映, 計画, 企画, 漫画"
"英語","えいご","えい.ご","English (language), English teacher.","アメリカでは英語を話します。","They speak English in America.","英文, 英和, 和英, 英雄, 物語, 言語"
"駅","えき","えき","railway station, train station.","グランド・セントラル駅までやってください。","Grand Central Station, please.",""
"押す","おす","お","to push, to thrust.","シャッターを押してくれますか。","Could you press this button?","押収, 押し入れ, 押し付ける"
"横","よこ","よこ","horizontal (as opposed to vertical), side-to-side (as opposed to front-to-back).","母親は赤ん坊をベッドに横にした。","The mother laid her baby on the bed.",""
"音楽","おんがく","おん.がく","music, musician.","あの音楽は彼の気にさわる。","That music gets on his nerves.","本音, 発音, 物音, 楽器, 楽譜"
"夏","なつ","なつ","summer, Xia dynasty (of China; ca. 2070-1600 BCE; possibly mythological).","この夏最高の暑さだ。","It is the hottest this summer.",""
"夏休み","なつやすみ","なつ.やす","summer vacation, summer holiday.","この夏休みはどこかへ行くのですか。","Are you going away this summer?","真夏, 夏季, 夏至, 休暇, 休憩, 休業"
"家族","かぞく","か.ぞく","family, family planning.","あなたの家族はきっと親切でしょう。","Your family must be very nice.","家賃, 家庭, 民族, 貴族, 親族, 水族館"
"家庭","かてい","か.てい","home, household.","食事は家庭で食べますか、外食ですか。","Do you eat at home or eat out?","家族, 家賃, 校庭, 庭園, 中庭"
"花","はな","はな","flower, blossom.","私たちは梅の花で有名な水戸公園を見に行った。","We visited Mito Park, which is famous for its plum blossoms.",""
"会社","かいしゃ","かい.しゃ","company, corporation.","彼の努力は会社の成長に貢献した。","His effort contributed to my company's growth.","会議, 会場, 神社, 社会, 社長, 出会う, 新聞社"
"海","うみ","うみ","sea, ocean.","何としても海をひと目みたいものだ。","I ache for a sight of the sea.",""
"皆さん","みなさん","みな","all, everyone.","皆さんじっとしていてください。","Could you keep still, everyone?","皆様, 皆無"
"階段","かいだん","かい.だん","stairs, stairway.","その階段を上ってはいけません。","You must not go up the stairs.","段階, 階級, 値段, 段々, 手段, 普段, 二階建て"
"外","そと","そと","outside, exterior.","あるものの意味がわかるためには、そのものの外に出て、離れたところからそれを経験することができなければならない。","You have to be outside something, able to experience it from a distance, before it makes sense.",""
"外国","がいこく","がい.こく","foreign country, foreigner.","あなたは外国の本を持っていますか。","Do you have any foreign books?","外科, 国家, 天国"
"外国人","がいこくじん","がい.こく.じん","foreigner, foreign citizen.","「居住外国人」とは、どういう意味ですか。","What does resident alien mean?","外科, 国家, 天国, 人形, 一人, 恋人"
"角","かど","かど","corner, edge.","私は角にある劇場に行くところです。","I am going to the theater on the corner.",""
"学校","がっこう","がっ.こう","school, school name.","この学校はたくさんの生徒がいます。","This school has many students.","学生, 大学, 校長, 高校, 高校生"
"学生","がくせい","がく.せい","student (esp. a university student), Heian-period student of government administration.","学生の半数が休んでいた。","Half the students were absent.","学校, 大学, 小学校, 誕生日, 一生懸命"
"漢字","かんじ","かん.じ","kanji, Chinese character.","漢字を書くときは点やはらいに気をつけて、なるべく早くていねいに書きましょう。","When drawing kanji be careful of dots and sweeps, write as carefully and quickly as possible.","漢和, 漢語, 痴漢, 数字, 文字, 漢方薬"
"机","つくえ","つくえ","desk, on the desk.","重荷で机がまた軋んだ。","The loaded desk groaned again.",""
"休み","やすみ","やす","rest, recess.","１０時４０分から１１時まで休み時間です。","We have a break from 10:40 to 11:00.","休暇, 休憩, 休業"
"牛肉","ぎゅうにく","ぎゅう.にく","beef, butcher specializing in beef.","私の好みはどちらかというと牛肉ですね。","I have a predilection for beef.","牛乳, 牛丼, 子牛, 豚肉, 鶏肉, 筋肉"
"牛乳","ぎゅうにゅう","ぎゅう.にゅう","(cow's) milk, dairy.","牛は我々に牛乳を与えてくれる。","The cow supplies us with milk.","牛肉, 牛丼, 子牛, 乳児, 乳首, 豆乳"
"教室","きょうしつ","きょう.しつ","classroom, lecture room.","教室は生徒でいっぱいだった。","The classroom was full of pupils.","教育, 温室, 会議室, 研究室, 待合室"
"橋","はし","はし","bridge, pons.","あの橋は大変美しい。","That bridge is very beautiful.",""
"銀行","ぎんこう","ぎん.こう","bank, banking institution.","ジェーンはお金を引き出しに銀行へ行った。","Jane went to the bank to take out some money.","銀河, 銀座, 水銀, 行儀"
"靴","くつ","くつ","shoe, shoes.","くつは革でつくられている。","The shoes are made of leather.",""
"兄","あに","あに","older brother, elder brother.","私の兄は技師になった。","My brother became an engineer.",""
"兄弟","きょうだい","きょう.だい","siblings, brothers and sisters.","ライト兄弟はエンジンで動く飛行機を飛ばすことに成功した。","The Wright brothers succeeded in flying an airplane driven by an engine.","父兄, 子弟, 弟子"
"警官","けいかん","けい.かん","police officer, policeman.","２０人の警官が現場に現れた。","Twenty police have arrived on the scene.","警察, 警告, 警備, 警戒, 官庁, 官僚, 器官, 官邸"
"結構","けっこう","けっ.こう","splendid, nice.","好奇心がお旺盛なのは大変に結構なことである。","A healthy curiosity is truly a fine thing.","結論, 結婚, 団結, 構成, 構造, 機構"
"結婚","けっこん","けっ.こん","marriage, marriage ceremony.","結婚の申し込みが殺到した。","Marriage proposals flooded in.","結構, 結論, 団結, 離婚, 婚約, 未婚, 新婚"
"嫌い","きらい","きら","disliked, hated.","「あなたは仕事が気に入っていると思います」「いやそれどころか、嫌いです」","I think you like your job. On the contrary, I hate it.","機嫌"
"建物","たてもの","たて.もの","building, total floor area.","あそこの建物が燃えているに違いない。","That building must be on fire.","建設, 建築, 動物, 物質, 荷物, 果物, 二階建て"
"犬","いぬ","いぬ","dog (Canis (lupus) familiaris), squealer.","彼女は吠える犬を怖がる。","She is afraid of barking dogs.",""
"元気","げんき","げん.き","lively, full of spirit.","こんにちは、ロジャー。とっても元気よ。","Hi, Roger. I'm pretty good!","元来, 元々, 還元, 気配, 湯気, 気質, 天気"
"玄関","げんかん","げん.かん","entrance, front door.","トムが玄関にいるのでなかに入るように言ってください。","Tom is at the door. Please ask him in.","玄人, 玄米, 玄武, 関係, 関心, 関連"
"言葉","ことば","こと.ば","language, dialect.","「言葉の一面は、伝達しようとする意志である」と彼は言う。","One aspect of language is an intent to communicate, he says.","言語, 無言, 紅葉, 独り言"
"呼ぶ","よぶ","よ","to call out (to), to call.","あなたが呼べば、彼は来るでしょう。","He will come if you call him.","呼吸, 呼び出す"
