Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"可哀想","かわいそう","か.わい.そう","poor, pitiable.","私は何匹かのかわいそうな猫が追い出されるのを見た。","I saw some poor cats kicked out.","可能, 許可, 哀愁, 悲哀, 愛想, 思想, 想像, 理想, 可愛い"
"愛","あい","あい","love, affection.","愛の動きは不可解。","Love moves in mysterious ways.",""
"安定","あんてい","あん.てい","stability, steadiness.","今日の政治状況はそれほど安定していない。","The current political situation is not very stable.","安心, 安全, 目安, 予定, 勘定, 定規"
"案内","あんない","あん.ない","guidance, leading (the way).","ガイドは観光客に博物館の案内をした。","A guide conducted the visitors round the museum.","提案, 答案, 案外, 以内, 家内"
"以前","いぜん","い.ぜん","before, prior to.","最善を尽くしますが、よくいっても木曜以前に終える事は出来ません。","I'll do my best, but I'll not be able to finish it before Thursday at best.","以下, 以内, 以上, 以外, 午前, 名前, 前進"
"以来","いらい","い.らい","since, henceforth.","１９８８年以来トムに会っていません。","I haven't seen Tom since 1988.","以下, 以内, 以上, 以外, 来月, 来週, 来年, 出来事"
"依頼","いらい","い.らい","request, commission.","事務弁護士に遺言状の作成を依頼した。","I asked the solicitor to make out my will.","依然, 依存, 信頼, 依然として"
"囲む","かこむ","かこ","to surround, to encircle.","湖は緑の丘に囲まれている。","The lake is surrounded by green hills.","周囲, 範囲, 囲碁, 雰囲気"
"委員","いいん","い.いん","committee member, committee.","委員は全員出席している。","The committee are all present.","委任, 委託, 店員, 会員, 議員, 公務員"
"意外","いがい","い.がい","unexpected, surprising.","意外な結果が発表された。","Unexpected results were announced.","意味, 意見, 注意, 用意, 外国, 外科"
"意識","いしき","い.しき","consciousness, becoming aware (of).","これらのプロセスのどれも意識されていないということを強調することがもっとも重要である。","It is most important to emphasize that none of these processes are conscious.","意味, 意見, 注意, 用意, 意外, 常識, 知識, 標識, 認識"
"異常","いじょう","い.じょう","abnormal, unusual.","そんなにたくさん食べるのは異常だ。","It is abnormal to eat so much.","異動, 異性, 特異, 常識, 日常, 非常に"
"移動","いどう","い.どう","movement, transfer.","平和な丘や田園地帯から、通りがあり群衆がいる忙しい世界へと移動するのである。","They are moving from the peaceful hills and the countryside to the busy world of streets and crowds.","移転, 移民, 動物, 自動車"
"維持","いじ","い.じ","maintenance, preservation.","この車の維持は高くつく。","It is expensive running this car.","繊維, 維新, 持参, 気持ち, 金持ち, 合成繊維, 化学繊維"
