Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"其れ程","それほど","そ..ほど","to that degree, to that extent.","いや、それほど混んでなかったよ。","No, the traffic wasn't too bad.","其程, 其儘, 其方, 程度, 過程, 日程, 課程, 方程式"
"安心","あんしん","あん.しん","peace of mind, relief.","あいつに仕事を任せておけば安心だ。","You can trust him with any job.","安全, 目安, 安定, 用心, 心地, 関心"
"安全","あんぜん","あん.ぜん","safety, security.","君は自分の安全にもっと気を配るべきだ。","You should be more thoughtful of your safety.","安心, 目安, 安定, 全部, 完全"
"以下","いか","い.か","not exceeding ..., not more than ...","１６歳以下の子供は劇場には入場できません。","Children of age sixteen and under will not be admitted to the theatre.","以内, 以上, 以外, 靴下, 下宿, 地下鉄"
"以内","いない","い.ない","within, inside of.","１週間以内に電話します。","I'll call you within a week.","以下, 以上, 以外, 家内, 案内"
"意見","いけん","い.けん","opinion, view.","ここではどんどん意見をおっしゃってかまいません。","You can speak out freely here.","意味, 注意, 用意, 意外, 見物, 見舞い"
"医学","いがく","い.がく","medical science, medicine.","二人の医者が医学の話をしていた。","Two doctors were talking shop.","医者, 医師, 医療, 学生, 学校, 大学, 歯医者, 小学校"
"一生懸命","いっしょうけんめい","いっ.しょう.けん.めい","very hard, with utmost effort.","もっと一生懸命勉強すべきだったのに。","You should have worked harder.","一緒, 一番, 唯一, 学生, 懸賞, 懸念, 懸案, 寿命, 生命, 命令, 一昨日, 誕生日"
"運ぶ","はこぶ","はこ","to carry, to transport.","荷物を二階に運んでいただけませんか。","Would you carry my luggage upstairs?","運転, 運動, 運転手"
"運転手","うんてんしゅ","うん.てん.しゅ","driver, chauffeur.","運転手はベルトを締めるべきだ。","Drivers should wear seat belts.","運動, 派手, 上手, 下手, 自転車"
"雲","くも","くも","cloud, skylark (Alauda arvensis).","雲がだんだん黒くなっています。","The clouds are getting darker.",""
"下げる","さげる","さ","to hang, to suspend.","ラジオの音を下げてくれませんか。","Could you turn down the radio?","靴下, 下宿, 地下鉄"
"科学","かがく","か.がく","science, to think about scientifically.","科学は観察に基づいている。","Science rests upon observation.","科目, 外科, 理科, 学生, 学校, 大学, 教科書, 小学校"
"火","ひ","ひ","fire, flame.","いすをもっと火の近くに寄せなさい。","Draw your chair closer to the fire.",""
