Question,Answer,Furigana,Meaning,Example,Translation,VocabWords
"倶楽部","クラブ","ク.ラ.ブ","club, fraternity.","私はどのクラブにも所属していない。","I don't belong to any club.","音楽, 楽器, 楽譜, 全部, 部屋, 部長, 部分, 大部分, 不倶戴天"
"貝殻","かいがら","かい.がら","seashell, shell.","トムは美しい貝がらを浜辺でひろった。","Tom picked up some pretty shells on the beach.","貝塚, 地殻, 巻き貝, 魚貝類, 吸い殻, 地殻変動"
"本の","ほんの","ほん","mere, only.","クリスマスはほんの２週間先です。","Christmas is only two weeks off.","本当, 日本, 本棚, 根本"
"悪","あく","あく","evil, wickedness.","いかなる善意の考えもそれ自体はあくでありうる。","Any virtuous idea can be vicious in itself.",""
"悪化","あっか","あっ.か","deterioration, getting worse.","日が経つにつれて、天気は次第に悪化しつつあった。","The weather was getting worse and worse as the day went on.","悪魔, 悪口, 文化, 化粧, 化学, 変化"
"圧力","あつりょく","あつ.りょく","pressure, stress.","橋が圧力で落ちた。","The bridge crashed under the pressure.","気圧, 圧縮, 血圧, 圧迫, 強力, 努力, 能力, 力強い"
"暗殺","あんさつ","あん.さつ","assassination, assassin.","そのヤクザ達は対立するヤクザの親分を暗殺する計画の仲間に彼を入れた。","The gangsters let him in on their plan to knock off a rival gang leader.","暗記, 自殺, 殺人, 虐殺, 薄暗い, 真っ暗"
"依然","いぜん","い.ぜん","still, as yet.","３人が依然行方不明です。","Three people are still missing.","依頼, 依存, 自然, 天然, 突然, 偶然, 全然"
"意図","いと","い.と","intention, aim.","意図していたものとかけ離れた結果となった。","It had an effect alien from the one intended.","意味, 意見, 注意, 用意, 意外, 地図, 図書館, 図々しい"
"移民","いみん","い.みん","immigration, emigration.","合衆国は長い間「るつぼ」として知られているが、それは国民のほとんどが移民の子孫だからである。","The United States has long been known as a melting pot because most of its people are descended from immigrants.","移動, 移転, 市民, 国民, 住民, 農民, 民間"
"衣装","いしょう","い.しょう","clothing, costume.","ぬれた衣装が彼女の体にくっついていた。","Wet clothes clung to her body.","衣服, 浴衣, 衣類, 装置, 服装, 包装, 武装, 衣食住"
"遺跡","いせき","い.せき","(archeological) remains, ruins.","新しい遺跡で未発掘はいくつだったのですか。","How many new sites were uncovered?","遺産, 遺言, 遺体, 遺憾, 追跡, 足跡, 奇跡"
"一切","いっさい","いっ.さい","all, everything.","それは他のいっさいに勝っている。","It is paramount to all the others.","一緒, 一番, 唯一, 大切, 切手, 締切, 一昨日, 裏切る"
"一帯","いったい","いっ.たい","whole area, whole region.","雨があたり一帯に降っている。","The rain is raining all around.","一緒, 一番, 唯一, 熱帯, 地帯, 包帯, 一昨日"
"一部","いちぶ","いち.ぶ","one part, one portion.","一部の人々は日本がすべて一番だと思っている。","Some people believe that Japan is No.1 in everything.","一緒, 一番, 唯一, 全部, 部屋, 部長, 部分, 一昨日, 大部分"
"運営","うんえい","うん.えい","management, administration.","我々はあらゆる学校を運営させ続け、あらゆる教師を職にとどめておくべきです。","We should keep every school open and every teacher in his job.","運転, 運動, 営業, 経営, 営利, 運転手"
"運命","うんめい","うん.めい","fate, destiny.","私たちは二度と彼女に会えない運命だった。","We were never to see her again.","運転, 運動, 寿命, 生命, 命令, 運転手, 一生懸命"
"運用","うんよう","うん.よう","making use of, application.","VISUACTは、お客様の多様な環境やニーズにも柔軟に対応し、さまざまな運用方法をご提供します。","VISUACT supports flexibly the varied environments and needs of our customers and offers a variety of operational procedures.","運転, 運動, 用意, 利用, 用事, 運転手"
"映像","えいぞう","えい.ぞう","image (on a screen), picture (e.g. on a TV).","その映像はピントがあっていない。","The image is not in focus.","映画, 反映, 想像, 仏像, 現像, 画像, 映画館"
"英雄","えいゆう","えい.ゆう","hero, heroine.","英雄も従者にはただの人。","No man is a hero to his valet.","英語, 英文, 英和, 和英, 雄大, 雄弁, 雌雄"
"演習","えんしゅう","えん.しゅう","practice, exercise.","","","演技, 演説, 講演, 演奏, 演劇, 練習, 習慣, 予習, 復習"
"演出","えんしゅつ","えん.しゅつ","direction (of a play, film, etc.), production.","その劇は彼によって演出された。","The play was produced by him.","演技, 演説, 講演, 演奏, 演劇, 出口, 提出, 出身, 引き出し"
"応募","おうぼ","おう.ぼ","application, subscription.","その学校で新しい教師を必要としていたので、彼はその職に応募した。","When the school needed a new teacher, he applied for the position.","反応, 応援, 一応, 募集, 募金, 公募, 相応しい"
"横綱","よこづな","よこ.づな","yokozuna (highest rank in sumo), grand champion.","","","横断, 横顔, 要綱, 綱領, 横切る, 綱渡り"
"化石","かせき","か.せき","fossil, petrifaction.","私が手にしてるのは貝の化石です。","What I have in my hand is a fossil seashell.","文化, 化粧, 化学, 変化, 石油, 石鹸, 磁石, 流石"
"何より","なにより","なに","above anything else, above all.","何より大事なことは、自分の頭で考えることだ。","The most important thing is thinking for oneself.","何時, 如何にも"
